date,month,year,Unemployment_rate_16_over,Unemployment_rate_Aged_16_17,Druguse16to20,druguse20to24
1992 APR,April,1905,9.8,24.2,,
1992 MAY,May,1905,9.8,26.3,,
1992 JUN,June,1905,9.9,26.7,,
1992 JUL,July,1905,9.9,25.5,,
1992 AUG,August,1905,9.9,24,,
1992 SEP,September,1905,10.1,24,,
1992 OCT,October,1905,10.2,24.3,,
1992 NOV,November,1905,10.4,24.5,,
1992 DEC,December,1905,10.5,24.7,,
1993 JAN,January,1905,10.7,24.1,,
1993 FEB,February,1905,10.6,24.6,,
1993 MAR,March,1905,10.6,24.8,,
1993 APR,April,1905,10.5,24.3,,
1993 MAY,May,1905,10.4,23.7,,
1993 JUN,June,1905,10.4,23.8,,
1993 JUL,July,1905,10.3,25.2,,
1993 AUG,August,1905,10.2,25.6,,
1993 SEP,September,1905,10.3,26.9,,
1993 OCT,October,1905,10.2,25.8,,
1993 NOV,November,1905,10.3,25.8,,
1993 DEC,December,1905,10.3,25.4,,
1994 JAN,January,1905,10.1,24.6,,
1994 FEB,February,1905,9.9,24.6,,
1994 MAR,March,1905,9.8,24.4,,
1994 APR,April,1905,9.7,25.6,,
1994 MAY,May,1905,9.7,25,,
1994 JUN,June,1905,9.6,25,,
1994 JUL,July,1905,9.5,22.9,,
1994 AUG,August,1905,9.4,23.2,,
1994 SEP,September,1905,9.3,23.3,,
1994 OCT,October,1905,9.1,22.1,,
1994 NOV,November,1905,9,20.5,,
1994 DEC,December,1905,8.9,20.6,,
1995 JAN,January,1905,8.9,21.9,,
1995 FEB,February,1905,8.9,21.6,,
1995 MAR,March,1905,8.8,23,,
1995 APR,April,1905,8.8,21.7,,
1995 MAY,May,1905,8.7,22.6,,
1995 JUN,June,1905,8.7,22.3,,
1995 JUL,July,1905,8.6,23.3,,
1995 AUG,August,1905,8.6,24,,
1995 SEP,September,1905,8.6,23.2,,
1995 OCT,October,1905,8.6,23.9,,
1995 NOV,November,1905,8.3,22.6,,
1995 DEC,December,1905,8.4,23.1,32.08459552,28.11646809
1996 JAN,January,1905,8.3,22.5,,
1996 FEB,February,1905,8.2,23.7,,
1996 MAR,March,1905,8.3,25.1,,
1996 APR,April,1905,8.3,24.8,,
1996 MAY,May,1905,8.3,23.1,,
1996 JUN,June,1905,8.2,23.7,,
1996 JUL,July,1905,8.1,23.8,,
1996 AUG,August,1905,8.1,24.6,,
1996 SEP,September,1905,8.1,25,,
1996 OCT,October,1905,8,25.2,,
1996 NOV,November,1905,7.8,25.2,,
1996 DEC,December,1905,7.7,26.1,,
1997 JAN,January,1905,7.5,25.5,,
1997 FEB,February,1905,7.3,24.5,,
1997 MAR,March,1905,7.2,23.7,,
1997 APR,April,1905,7.2,22.7,,
1997 MAY,May,1905,7.2,23.1,,
1997 JUN,June,1905,7.3,24.3,,
1997 JUL,July,1905,7.1,23.2,,
1997 AUG,August,1905,6.8,20.7,,
1997 SEP,September,1905,6.7,20.7,,
1997 OCT,October,1905,6.6,22,,
1997 NOV,November,1905,6.5,21,,
1997 DEC,December,1905,6.4,21.3,32.85375947,30.92054416
1998 JAN,January,1905,6.4,23.4,,
1998 FEB,February,1905,6.4,23.6,,
1998 MAR,March,1905,6.3,23.1,,
1998 APR,April,1905,6.3,22,,
1998 MAY,May,1905,6.3,23.5,,
1998 JUN,June,1905,6.3,23,,
1998 JUL,July,1905,6.3,22.3,,
1998 AUG,August,1905,6.2,21.5,,
1998 SEP,September,1905,6.2,22.3,,
1998 OCT,October,1905,6.2,24.5,,
1998 NOV,November,1905,6.1,24.8,,
1998 DEC,December,1905,6.2,25.5,,
1999 JAN,January,1905,6.2,24.4,,
1999 FEB,February,1905,6.2,24.6,,
1999 MAR,March,1905,6.2,24.8,,
1999 APR,April,1905,6.1,24.3,,
1999 MAY,May,1905,6,24.5,,
1999 JUN,June,1905,6,24.8,,
1999 JUL,July,1905,5.9,26.2,,
1999 AUG,August,1905,5.9,25.1,,
1999 SEP,September,1905,5.8,24.7,,
1999 OCT,October,1905,5.8,23.8,,
1999 NOV,November,1905,5.8,23.9,,
1999 DEC,December,1905,5.9,22.8,28.17296162,31.27983764
2000 JAN,January,1905,5.8,24,,
2000 FEB,February,1905,5.8,23.7,,
2000 MAR,March,1905,5.7,25.7,,
2000 APR,April,1905,5.6,25.8,,
2000 MAY,May,1905,5.5,24,,
2000 JUN,June,1905,5.3,23.6,,
2000 JUL,July,1905,5.3,24.4,,
2000 AUG,August,1905,5.3,26.6,,
2000 SEP,September,1905,5.4,26.3,,
2000 OCT,October,1905,5.3,27.3,,
2000 NOV,November,1905,5.2,24.9,,
2000 DEC,December,1905,5.2,24.5,,
2001 JAN,January,1905,5.2,25.4,,
2001 FEB,February,1905,5.1,24.7,,
2001 MAR,March,1905,5,23.7,,
2001 APR,April,1905,4.9,23.6,,
2001 MAY,May,1905,5,24.3,,
2001 JUN,June,1905,5,25,,
2001 JUL,July,1905,5.1,25,,
2001 AUG,August,1905,5.1,24.6,,
2001 SEP,September,1905,5.1,24.2,,
2001 OCT,October,1905,5.1,24.8,,
2001 NOV,November,1905,5.2,24.4,,
2001 DEC,December,1905,5.2,24.3,,
2002 JAN,January,1905,5.1,25.9,,
2002 FEB,February,1905,5.2,26.6,,
2002 MAR,March,1905,5.2,27.4,27.68141085,29.13620941
2002 APR,April,1905,5.2,26.8,,
2002 MAY,May,1905,5.2,27.8,,
2002 JUN,June,1905,5.2,27.3,,
2002 JUL,July,1905,5.2,27.3,,
2002 AUG,August,1905,5.3,27.4,,
2002 SEP,September,1905,5.2,27.8,,
2002 OCT,October,1905,5.2,28.5,,
2002 NOV,November,1905,5.1,29.6,,
2002 DEC,December,1905,5,29.4,,
2003 JAN,January,1905,5.1,29.1,,
2003 FEB,February,1905,5.2,28.4,,
2003 MAR,March,1905,5.1,28.8,26.74107234,29.82276866
2003 APR,April,1905,5,28.9,,
2003 MAY,May,1905,4.9,28.2,,
2003 JUN,June,1905,5.1,26.8,,
2003 JUL,July,1905,5.1,26.5,,
2003 AUG,August,1905,5,26.3,,
2003 SEP,September,1905,5,26,,
2003 OCT,October,1905,4.9,25.9,,
2003 NOV,November,1905,4.9,25.8,,
2003 DEC,December,1905,4.8,26,,
2004 JAN,January,1905,4.8,26.6,,
2004 FEB,February,1905,4.8,26.6,,
2004 MAR,March,1905,4.8,28.5,28.26114507,28.5567379
2004 APR,April,1905,4.8,27.1,,
2004 MAY,May,1905,4.8,27.4,,
2004 JUN,June,1905,4.8,27.9,,
2004 JUL,July,1905,4.7,28.6,,
2004 AUG,August,1905,4.7,30.4,,
2004 SEP,September,1905,4.7,29.8,,
2004 OCT,October,1905,4.7,29.8,,
2004 NOV,November,1905,4.7,28.8,,
2004 DEC,December,1905,4.7,29,,
2005 JAN,January,1905,4.8,28.2,,
2005 FEB,February,1905,4.7,27.9,,
2005 MAR,March,1905,4.7,27.5,27.82448527,27.0123205
2005 APR,April,1905,4.8,26.8,,
2005 MAY,May,1905,4.8,28.6,,
2005 JUN,June,1905,4.7,29.8,,
2005 JUL,July,1905,4.7,30.1,,
2005 AUG,August,1905,4.7,30.7,,
2005 SEP,September,1905,4.9,33,,
2005 OCT,October,1905,5.1,32.3,,
2005 NOV,November,1905,5.1,33.8,,
2005 DEC,December,1905,5.1,33.9,,
2006 JAN,January,1905,5.2,32.6,,
2006 FEB,February,1905,5.2,31.4,,
2006 MAR,March,1905,5.3,30.5,25.43673872,24.62851167
2006 APR,April,1905,5.4,30.5,,
2006 MAY,May,1905,5.5,30.9,,
2006 JUN,June,1905,5.5,31.5,,
2006 JUL,July,1905,5.5,31,,
2006 AUG,August,1905,5.5,33,,
2006 SEP,September,1905,5.5,32.1,,
2006 OCT,October,1905,5.4,30.1,,
2006 NOV,November,1905,5.5,28.6,,
2006 DEC,December,1905,5.5,29.8,,
2007 JAN,January,1905,5.5,30.5,,
2007 FEB,February,1905,5.5,31.3,,
2007 MAR,March,1905,5.5,32,23.29626648,24.79436428
2007 APR,April,1905,5.4,32.4,,
2007 MAY,May,1905,5.4,33.1,,
2007 JUN,June,1905,5.3,32.8,,
2007 JUL,July,1905,5.3,29.7,,
2007 AUG,August,1905,5.3,30.1,,
2007 SEP,September,1905,5.2,30.5,,
2007 OCT,October,1905,5.2,30.6,,
2007 NOV,November,1905,5.2,29.6,,
2007 DEC,December,1905,5.2,29.3,,
2008 JAN,January,1905,5.2,28.2,,
2008 FEB,February,1905,5.2,27.2,,
2008 MAR,March,1905,5.3,28.7,20.57740224,21.92783158
2008 APR,April,1905,5.2,27.8,,
2008 MAY,May,1905,5.4,30.3,,
2008 JUN,June,1905,5.5,31.2,,
2008 JUL,July,1905,5.7,32.9,,
2008 AUG,August,1905,5.9,32.2,,
2008 SEP,September,1905,6,33.9,,
2008 OCT,October,1905,6.2,33.5,,
2008 NOV,November,1905,6.4,33.2,,
2008 DEC,December,1905,6.5,33.4,,
2009 JAN,January,1905,6.7,33.9,,
2009 FEB,February,1905,7.1,34.7,,
2009 MAR,March,1905,7.3,35.2,22.1184833,22.66687218
2009 APR,April,1905,7.6,34.9,,
2009 MAY,May,1905,7.8,36.8,,
2009 JUN,June,1905,7.9,38.9,,
2009 JUL,July,1905,7.9,37.7,,
2009 AUG,August,1905,7.8,34.2,,
2009 SEP,September,1905,7.9,36.6,,
2009 OCT,October,1905,7.8,39.4,,
2009 NOV,November,1905,7.8,39.4,,
2009 DEC,December,1905,7.7,40.3,,
2010 JAN,January,1905,7.9,38.7,,
2010 FEB,February,1905,8,39,,
2010 MAR,March,1905,8,40.4,22.52203742,18.15064875
2010 APR,April,1905,7.9,37.5,,
2010 MAY,May,1905,7.9,35.8,,
2010 JUN,June,1905,7.8,36.4,,
2010 JUL,July,1905,7.8,38.2,,
2010 AUG,August,1905,7.8,37.7,,
2010 SEP,September,1905,7.9,41.6,,
2010 OCT,October,1905,7.9,39.9,,
2010 NOV,November,1905,7.9,39.6,,
2010 DEC,December,1905,7.9,39.9,,
2011 JAN,January,1905,7.8,39.5,,
2011 FEB,February,1905,7.8,41.5,,
2011 MAR,March,1905,7.7,41.9,23.34187831,18.62918331
2011 APR,April,1905,7.8,41.2,,
2011 MAY,May,1905,7.9,40.8,,
2011 JUN,June,1905,8,44.1,,
2011 JUL,July,1905,8.2,43.1,,
2011 AUG,August,1905,8.3,44.8,,
2011 SEP,September,1905,8.4,41.7,,
2011 OCT,October,1905,8.5,41.9,,
2011 NOV,November,1905,8.4,39.4,,
2011 DEC,December,1905,8.4,43.7,,
2012 JAN,January,1905,8.3,43.4,,
2012 FEB,February,1905,8.2,40.6,,
2012 MAR,March,1905,8.2,41.5,19.81399292,19.14661886
2012 APR,April,1905,8.1,39.1,,
2012 MAY,May,1905,8,40.7,,
2012 JUN,June,1905,8,40.1,,
2012 JUL,July,1905,7.9,38,,
2012 AUG,August,1905,7.9,34.3,,
2012 SEP,September,1905,7.9,39,,
2012 OCT,October,1905,7.8,36.8,,
2012 NOV,November,1905,7.8,35.6,,
2012 DEC,December,1905,7.8,35.7,,
2013 JAN,January,1905,8,39.7,,
2013 FEB,February,1905,7.8,41.3,,
2013 MAR,March,1905,7.8,38.7,16.41492236,16.39396438
2013 APR,April,1905,7.8,41.2,,
2013 MAY,May,1905,7.7,39.8,,
2013 JUN,June,1905,7.7,40.6,,
2013 JUL,July,1905,7.7,35.6,,
2013 AUG,August,1905,7.6,33.2,,
2013 SEP,September,1905,7.4,34.4,,
2013 OCT,October,1905,7.2,36.5,,
2013 NOV,November,1905,7.2,37.1,,
2013 DEC,December,1905,7.2,36.5,,
2014 JAN,January,1905,6.9,34,,
2014 FEB,February,1905,6.8,30.5,,
2014 MAR,March,1905,6.6,28.5,19.2867244,18.82101549
2014 APR,April,1905,6.4,28.7,,
2014 MAY,May,1905,6.3,28.1,,
2014 JUN,June,1905,6.1,31.2,,
2014 JUL,July,1905,6,29.7,,
2014 AUG,August,1905,6,30.5,,
2014 SEP,September,1905,6,31,,
2014 OCT,October,1905,5.9,31.4,,
2014 NOV,November,1905,5.7,29.4,,
2014 DEC,December,1905,5.7,28.9,,
2015 JAN,January,1905,5.6,30.3,,
2015 FEB,February,1905,5.5,29.6,,
2015 MAR,March,1905,5.5,30.5,18.91748744,19.85567377
2015 APR,April,1905,5.6,28.9,,
2015 MAY,May,1905,5.6,30.4,,
2015 JUN,June,1905,5.5,28.5,,
2015 JUL,July,1905,5.4,30.5,,
2015 AUG,August,1905,5.3,30.5,,
2015 SEP,September,1905,5.2,31,,
2015 OCT,October,1905,5.1,28.7,,
2015 NOV,November,1905,5.1,30.5,,
2015 DEC,December,1905,5.1,33,,
2016 JAN,January,1905,5.1,32.6,,
2016 FEB,February,1905,5.1,30.1,,
2016 MAR,March,1905,5,30,17.75273839,18.20180536
2016 APR,April,1905,4.9,30,,
2016 MAY,May,1905,4.9,29.3,,
2016 JUN,June,1905,4.9,31.8,,
2016 JUL,July,1905,5,35.8,,
2016 AUG,August,1905,4.8,34.5,,
2016 SEP,September,1905,4.8,35.9,,
2016 OCT,October,1905,4.8,31.4,,
2016 NOV,November,1905,4.7,29.2,,
2016 DEC,December,1905,4.7,27,,
2017 JAN,January,1905,4.6,30.2,,
2017 FEB,February,1905,4.6,30.2,,
2017 MAR,March,1905,4.5,27.8,16.53366679,21.01658824
2017 APR,April,1905,4.4,28.1,,
2017 MAY,May,1905,4.4,31,,
2017 JUN,June,1905,4.3,33.5,,
2017 JUL,July,1905,4.3,30.3,,
2017 AUG,August,1905,4.3,29,,
2017 SEP,September,1905,4.2,29.4,,
2017 OCT,October,1905,4.3,29.9,,
2017 NOV,November,1905,4.4,30.9,,
2017 DEC,December,1905,4.3,29.9,,
2018 JAN,January,1905,4.2,29.3,,
2018 FEB,February,1905,4.2,30.4,,
2018 MAR,March,1905,4.2,26.5,16.82929183,21.83325558
2018 APR,April,1905,4.2,25.2,,
2018 MAY,May,1905,4,21.5,,
2018 JUN,June,1905,4,20.2,,
2018 JUL,July,1905,4,16.5,,
2018 AUG,August,1905,4.1,16.2,,
2018 SEP,September,1905,4.1,24.6,,
2018 OCT,October,1905,4,31.6,,
2018 NOV,November,1905,4,29.5,,
2018 DEC,December,1905,3.9,24.2,,
2019 JAN,January,1905,3.9,20.2,,
2019 FEB,February,1905,3.8,20.1,,
2019 MAR,March,1905,3.8,20.2,18.38327642,21.71267362
2019 APR,April,1905,3.8,19.8,,
2019 MAY,May,1905,3.9,19.5,,
2019 JUN,June,1905,3.8,20.6,,
2019 JUL,July,1905,3.9,24.2,,
2019 AUG,August,1905,3.8,23.4,,
2019 SEP,September,1905,3.8,25.4,,
2019 OCT,October,1905,3.8,26.9,,
2019 NOV,November,1905,3.8,28.9,,
2019 DEC,December,1905,3.9,32.4,,
2020 JAN,January,1905,4,34.5,,
2020 FEB,February,1905,4,33.6,,
2020 MAR,March,1905,4.1,33.6,21.07712243,20.98816765
2020 APR,April,1905,4.1,29.8,,
2020 MAY,May,1905,4.1,34.7,,
2020 JUN,June,1905,4.3,33.4,,
2020 JUL,July,1905,4.6,35,,
2020 AUG,August,1905,4.9,28.7,,
2020 SEP,September,1905,5.1,29.4,,
2020 OCT,October,1905,5.1,22.1,,
2020 NOV,November,1905,5.2,22.5,,
2020 DEC,December,1905,5.1,22.8,,
2021 JAN,January,1905,5.1,24.5,,
2021 FEB,February,1905,4.9,26.7,,
2021 MAR,March,1905,4.9,29.9,,
2021 APR,April,1905,4.9,30.8,,
2021 MAY,May,1905,4.7,31.2,,
2021 JUN,June,1905,4.6,30.9,,
2021 JUL,July,1905,4.4,25,,
2021 AUG,August,1905,4.3,19.7,,
2021 SEP,September,1905,4.2,23.3,,
2021 OCT,October,1905,4.1,28.6,,
2021 NOV,November,1905,4,25.4,,
2021 DEC,December,1905,4,29.8,,
2022 JAN,January,1905,3.8,24.6,,
2022 FEB,February,1905,3.7,29.4,,
2022 MAR,March,1905,3.8,28.8,,
2022 APR,April,1905,3.8,25,,
2022 MAY,May,1905,3.8,23.6,,
2022 JUN,June,1905,3.6,23.1,12.18983663,23.28593756
2022 JUL,July,1905,3.5,23.3,,
2022 AUG,August,1905,3.6,21.9,,
2022 SEP,September,1905,3.7,17.1,,
