date,Druguse16to20,druguse20to24
1992 APR,,
1992 MAY,,
1992 JUN,,
1992 JUL,,
1992 AUG,,
1992 SEP,,
1992 OCT,,
1992 NOV,,
1992 DEC,,
1993 JAN,,
1993 FEB,,
1993 MAR,,
1993 APR,,
1993 MAY,,
1993 JUN,,
1993 JUL,,
1993 AUG,,
1993 SEP,,
1993 OCT,,
1993 NOV,,
1993 DEC,,
1994 JAN,,
1994 FEB,,
1994 MAR,,
1994 APR,,
1994 MAY,,
1994 JUN,,
1994 JUL,,
1994 AUG,,
1994 SEP,,
1994 OCT,,
1994 NOV,,
1994 DEC,,
1995 JAN,,
1995 FEB,,
1995 MAR,,
1995 APR,,
1995 MAY,,
1995 JUN,,
1995 JUL,,
1995 AUG,,
1995 SEP,,
1995 OCT,,
1995 NOV,,
1995 DEC,32.08459552,28.11646809
1996 JAN,,
1996 FEB,,
1996 MAR,,
1996 APR,,
1996 MAY,,
1996 JUN,,
1996 JUL,,
1996 AUG,,
1996 SEP,,
1996 OCT,,
1996 NOV,,
1996 DEC,,
1997 JAN,,
1997 FEB,,
1997 MAR,,
1997 APR,,
1997 MAY,,
1997 JUN,,
1997 JUL,,
1997 AUG,,
1997 SEP,,
1997 OCT,,
1997 NOV,,
1997 DEC,32.85375947,30.92054416
1998 JAN,,
1998 FEB,,
1998 MAR,,
1998 APR,,
1998 MAY,,
1998 JUN,,
1998 JUL,,
1998 AUG,,
1998 SEP,,
1998 OCT,,
1998 NOV,,
1998 DEC,,
1999 JAN,,
1999 FEB,,
1999 MAR,,
1999 APR,,
1999 MAY,,
1999 JUN,,
1999 JUL,,
1999 AUG,,
1999 SEP,,
1999 OCT,,
1999 NOV,,
1999 DEC,28.17296162,31.27983764
2000 JAN,,
2000 FEB,,
2000 MAR,,
2000 APR,,
2000 MAY,,
2000 JUN,,
2000 JUL,,
2000 AUG,,
2000 SEP,,
2000 OCT,,
2000 NOV,,
2000 DEC,,
2001 JAN,,
2001 FEB,,
2001 MAR,,
2001 APR,,
2001 MAY,,
2001 JUN,,
2001 JUL,,
2001 AUG,,
2001 SEP,,
2001 OCT,,
2001 NOV,,
2001 DEC,,
2002 JAN,,
2002 FEB,,
2002 MAR,27.68141085,29.13620941
2002 APR,,
2002 MAY,,
2002 JUN,,
2002 JUL,,
2002 AUG,,
2002 SEP,,
2002 OCT,,
2002 NOV,,
2002 DEC,,
2003 JAN,,
2003 FEB,,
2003 MAR,26.74107234,29.82276866
2003 APR,,
2003 MAY,,
2003 JUN,,
2003 JUL,,
2003 AUG,,
2003 SEP,,
2003 OCT,,
2003 NOV,,
2003 DEC,,
2004 JAN,,
2004 FEB,,
2004 MAR,28.26114507,28.5567379
2004 APR,,
2004 MAY,,
2004 JUN,,
2004 JUL,,
2004 AUG,,
2004 SEP,,
2004 OCT,,
2004 NOV,,
2004 DEC,,
2005 JAN,,
2005 FEB,,
2005 MAR,27.82448527,27.0123205
2005 APR,,
2005 MAY,,
2005 JUN,,
2005 JUL,,
2005 AUG,,
2005 SEP,,
2005 OCT,,
2005 NOV,,
2005 DEC,,
2006 JAN,,
2006 FEB,,
2006 MAR,25.43673872,24.62851167
2006 APR,,
2006 MAY,,
2006 JUN,,
2006 JUL,,
2006 AUG,,
2006 SEP,,
2006 OCT,,
2006 NOV,,
2006 DEC,,
2007 JAN,,
2007 FEB,,
2007 MAR,23.29626648,24.79436428
2007 APR,,
2007 MAY,,
2007 JUN,,
2007 JUL,,
2007 AUG,,
2007 SEP,,
2007 OCT,,
2007 NOV,,
2007 DEC,,
2008 JAN,,
2008 FEB,,
2008 MAR,20.57740224,21.92783158
2008 APR,,
2008 MAY,,
2008 JUN,,
2008 JUL,,
2008 AUG,,
2008 SEP,,
2008 OCT,,
2008 NOV,,
2008 DEC,,
2009 JAN,,
2009 FEB,,
2009 MAR,22.1184833,22.66687218
2009 APR,,
2009 MAY,,
2009 JUN,,
2009 JUL,,
2009 AUG,,
2009 SEP,,
2009 OCT,,
2009 NOV,,
2009 DEC,,
2010 JAN,,
2010 FEB,,
2010 MAR,22.52203742,18.15064875
2010 APR,,
2010 MAY,,
2010 JUN,,
2010 JUL,,
2010 AUG,,
2010 SEP,,
2010 OCT,,
2010 NOV,,
2010 DEC,,
2011 JAN,,
2011 FEB,,
2011 MAR,23.34187831,18.62918331
2011 APR,,
2011 MAY,,
2011 JUN,,
2011 JUL,,
2011 AUG,,
2011 SEP,,
2011 OCT,,
2011 NOV,,
2011 DEC,,
2012 JAN,,
2012 FEB,,
2012 MAR,19.81399292,19.14661886
2012 APR,,
2012 MAY,,
2012 JUN,,
2012 JUL,,
2012 AUG,,
2012 SEP,,
2012 OCT,,
2012 NOV,,
2012 DEC,,
2013 JAN,,
2013 FEB,,
2013 MAR,16.41492236,16.39396438
2013 APR,,
2013 MAY,,
2013 JUN,,
2013 JUL,,
2013 AUG,,
2013 SEP,,
2013 OCT,,
2013 NOV,,
2013 DEC,,
2014 JAN,,
2014 FEB,,
2014 MAR,19.2867244,18.82101549
2014 APR,,
2014 MAY,,
2014 JUN,,
2014 JUL,,
2014 AUG,,
2014 SEP,,
2014 OCT,,
2014 NOV,,
2014 DEC,,
2015 JAN,,
2015 FEB,,
2015 MAR,18.91748744,19.85567377
2015 APR,,
2015 MAY,,
2015 JUN,,
2015 JUL,,
2015 AUG,,
2015 SEP,,
2015 OCT,,
2015 NOV,,
2015 DEC,,
2016 JAN,,
2016 FEB,,
2016 MAR,17.75273839,18.20180536
2016 APR,,
2016 MAY,,
2016 JUN,,
2016 JUL,,
2016 AUG,,
2016 SEP,,
2016 OCT,,
2016 NOV,,
2016 DEC,,
2017 JAN,,
2017 FEB,,
2017 MAR,16.53366679,21.01658824
2017 APR,,
2017 MAY,,
2017 JUN,,
2017 JUL,,
2017 AUG,,
2017 SEP,,
2017 OCT,,
2017 NOV,,
2017 DEC,,
2018 JAN,,
2018 FEB,,
2018 MAR,16.82929183,21.83325558
2018 APR,,
2018 MAY,,
2018 JUN,,
2018 JUL,,
2018 AUG,,
2018 SEP,,
2018 OCT,,
2018 NOV,,
2018 DEC,,
2019 JAN,,
2019 FEB,,
2019 MAR,18.38327642,21.71267362
2019 APR,,
2019 MAY,,
2019 JUN,,
2019 JUL,,
2019 AUG,,
2019 SEP,,
2019 OCT,,
2019 NOV,,
2019 DEC,,
2020 JAN,,
2020 FEB,,
2020 MAR,21.07712243,20.98816765
2020 APR,,
2020 MAY,,
2020 JUN,,
2020 JUL,,
2020 AUG,,
2020 SEP,,
2020 OCT,,
2020 NOV,,
2020 DEC,,
2021 JAN,,
2021 FEB,,
2021 MAR,,
2021 APR,,
2021 MAY,,
2021 JUN,,
2021 JUL,,
2021 AUG,,
2021 SEP,,
2021 OCT,,
2021 NOV,,
2021 DEC,,
2022 JAN,,
2022 FEB,,
2022 MAR,,
2022 APR,,
2022 MAY,,
2022 JUN,12.18983663,23.28593756
2022 JUL,,
2022 AUG,,
2022 SEP,,
