Date,"Binance Coin","Binance USD",Bitcoin,Cardano,Dogecoin,Ethereum,Polygon,Tether,"USD Coin",XRP
"2021-11-29 00:00",625.56475997,1.00285683,57904.45716252,1.60018766,0.21504367,4416.98107346,1.74073183,1.00113643,0.99931093,0.99020775
"2021-11-30 00:00",623.14515256,1.0061658,57017.73538592,1.55850374,0.21621577,4632.92696272,1.79896799,1.0022037,1.0007572,1.00023354
"2021-12-01 00:00",631.46594901,1.00793436,57570.07558949,1.56203798,0.21230723,4617.61617925,2.03083099,1.00433624,0.9999929,1.0000019
"2021-12-02 00:00",622.82729827,1.01506942,56695.31131102,1.71699928,0.21073021,4541.60680597,2.09923265,1.00224319,1.00174228,0.97884575
"2021-12-03 00:00",603.31162767,1.03301671,54473.76485652,1.59158174,0.20382334,4292.01407021,2.300424,1.00401785,1.00092889,0.93947117
"2021-12-04 00:00",568.82474085,1.03729128,49023.00568029,1.42127524,0.18008765,4099.20728642,1.98210164,1.00440776,1.00075145,0.83297666
"2021-12-05 00:00",561.93307379,1.02730414,49601.32168126,1.37743044,0.17152571,4204.8625604,2.02864675,1.00568709,1.00115629,0.80810514
"2021-12-06 00:00",590.31936872,1.01471506,50177.7580831,1.41735244,0.17483133,4316.28436976,2.16580847,1.00170749,1.00015701,0.82247599
"2021-12-07 00:00",577.88236016,1.01099714,50718.40219406,1.3882905,0.17810151,4308.7867864,2.38000563,1.00118556,1.00003598,0.81722753
"2021-12-08 00:00",605.41282445,1.00791655,50503.66825911,1.39545368,0.17921315,4426.35196084,2.42479508,1.00012233,0.99806134,0.86281991
"2021-12-09 00:00",581.69799264,1.0153534,48398.04770945,1.31440923,0.17323405,4192.2183437,2.14957571,1.00195709,1.00066694,0.88540952
"2021-12-10 00:00",561.08080159,1.02462472,47898.05086028,1.2343325,0.16611442,3976.5637548,2.12319855,1.00085691,0.99842598,0.8206165
"2021-12-11 00:00",562.92188565,1.01257026,48888.62227804,1.32798353,0.16768713,4044.34744275,2.1079844,1.00131028,0.99927275,0.83224503
"2021-12-12 00:00",570.29127423,1.00595189,49957.43780629,1.347716,0.16872178,4109.67153465,2.07891996,0.99890675,0.99852287,0.84154027
"2021-12-13 00:00",528.31897302,1.01048758,47196.44714984,1.23880179,0.15880753,3810.92509576,1.84060613,1.00122876,1.00005018,0.79172522
"2021-12-14 00:00",530.65823146,1.01227452,48388.2246622,1.2697169,0.19073845,3870.62806191,1.93624071,1.00220656,1.00145448,0.81452993
"2021-12-15 00:00",540.28153019,1.00337227,48792.22044289,1.305319,0.17929714,4008.39613509,2.10811111,0.99962297,0.99908615,0.82538315
"2021-12-16 00:00",532.08898238,1.00779478,48224.17293136,1.28448015,0.17879659,4012.19464677,2.12489699,1.0020215,1.00033356,0.82327282
"2021-12-17 00:00",534.87951076,1.00386811,46681.64052638,1.22965008,0.16993066,3884.82863018,2.1164028,1.00144786,1.00300046,0.80334338
"2021-12-18 00:00",537.92002509,0.99780937,47162.74666453,1.25008251,0.17308046,3977.97070855,2.23501117,1.00227063,1.00466002,0.83088317
"2021-12-19 00:00",534.28715534,1.008142,47316.25879349,1.25763261,0.17137492,3965.69230937,2.23307244,1.00333056,1.00515302,0.84138073
"2021-12-20 00:00",520.19985212,0.95424768,46267.9833703,1.22265276,0.16328339,3851.56154402,2.11373598,0.99129231,1.00031773,0.85555287
"2021-12-21 00:00",528.11567673,1.0001036,48834.02040303,1.27516017,0.17001323,4013.99435409,2.33916383,1.00014983,0.99987294,0.93358724
"2021-12-22 00:00",533.17662152,1.01064803,48653.88577459,1.32993526,0.17403584,3982.28279594,2.51512299,1.00061243,0.99857844,0.95270756
"2021-12-23 00:00",543.72202846,1.00374178,50416.50718547,1.45454141,0.1811655,4086.69605885,2.64025142,1.00029665,0.99920737,0.99728881
"2021-12-24 00:00",543.66709133,1.00462095,51155.81821161,1.41103196,0.18810495,4069.95878507,2.48693518,1.00238897,1.00026474,0.92057828
"2021-12-25 00:00",547.91574657,1.00277251,50681.04417306,1.44819079,0.19089993,4099.13806414,2.63532611,1.00153432,1.00131615,0.92745005
"2021-12-26 00:00",546.83153258,1.00009797,50809.79383973,1.45678546,0.1903446,4078.95200504,2.85055741,1.00027975,0.9998869,0.92127688
"2021-12-27 00:00",564.60848836,1.00466623,50052.69277724,1.52906552,0.18913161,4048.10388693,2.73447973,1.00140786,0.99917796,0.92777733
"2021-12-28 00:00",539.61473051,1.00589002,48107.16484154,1.42826336,0.17629941,3832.92220634,2.56007211,1.00252527,1.00137896,0.8648985
"2021-12-29 00:00",516.00730617,1.00736577,46985.18476828,1.34889294,0.16980034,3680.5523729,2.48791312,1.00030644,0.99829288,0.82622968
"2021-12-30 00:00",516.84533225,1.0042506,47161.3582566,1.35000461,0.17137985,3709.39541518,2.53290204,1.00089713,1.00041431,0.83904632
"2021-12-31 00:00",509.77480704,1.0004973,46461.52004891,1.30623414,0.17043882,3679.57211975,2.54294863,0.99943471,0.99744882,0.82521127
"2022-01-01 00:00",522.15039619,1.00091093,47513.05343302,1.35372958,0.17145887,3740.42220307,2.50709279,0.9996265,0.99813313,0.84255199
"2022-01-02 00:00",529.12521442,1.00052845,47148.89392289,1.36823406,0.17369527,3798.36898996,2.52373545,0.99980044,0.99868741,0.85285486
"2022-01-03 00:00",515.11860702,1.00745882,46526.79000617,1.33509012,0.17040232,3766.47442113,2.46321554,1.00229649,1.00247343,0.83688633
"2022-01-04 00:00",489.74128564,1.0016023,44347.16577859,1.26543793,0.1624415,3630.97684298,2.35902678,0.99963592,0.99990435,0.78368633
"2022-01-05 00:00",470.05616228,1.00946971,44878.48168498,1.23600251,0.15846774,3625.29640889,2.20020979,1.00095545,1.00134141,0.77571258
"2022-01-06 00:00",465.73111881,1.00531945,42431.13932277,1.23443526,0.15621026,3345.14419876,2.19875212,1.00260902,1.0011588,0.75082759
"2022-01-07 00:00",446.79231489,0.99892839,41326.9253611,1.20417572,0.15335204,3163.86116629,2.00358554,0.99953873,0.99748883,0.75681127
"2022-01-08 00:00",427.9742167,1.00078495,41577.24737105,1.1884155,0.15077622,3085.9173978,2.00737645,0.99965988,0.99848316,0.74569663
"2022-01-09 00:00",437.90028465,0.99969883,41937.5503549,1.16862451,0.14974644,3154.57917881,2.08597201,0.99872973,0.99821774,0.75266293
"2022-01-10 00:00",424.94861413,1.00292615,41698.04802575,1.13089439,0.14310158,3071.54824422,2.0699898,1.00066132,0.99992634,0.73739849
"2022-01-11 00:00",454.81669045,0.99859319,42262.2013933,1.17139564,0.15180874,3192.04162935,2.30164233,0.9995343,0.99895424,0.7568892
"2022-01-12 00:00",484.65664155,0.99556383,43799.82798035,1.29665219,0.16024444,3357.72640817,2.35263313,0.99854244,0.997138,0.79601255
"2022-01-13 00:00",478.33377139,1.00400376,41520.46569218,1.22167364,0.16671819,3160.92470936,2.23413504,1.00166122,1.0006472,0.74460141
"2022-01-14 00:00",485.02506419,1.0051312,42840.14667005,1.27313474,0.18489918,3274.42440283,2.28559737,1.00250327,1.00159527,0.76499103
"2022-01-15 00:00",487.25558495,1.00474997,42006.25121436,1.24730786,0.16949557,3217.93264879,2.30682584,1.00227805,1.00262976,0.75405263
"2022-01-16 00:00",496.54849019,1.00335195,43018.39274952,1.40661029,0.17742959,3340.16107366,2.30836049,1.00218498,1.00196543,0.77676449
"2022-01-17 00:00",484.2690144,1.00335741,42066.85741921,1.51811246,0.16706771,3206.12118624,2.21193291,1.00097363,1.00024982,0.75688618
"2022-01-18 00:00",473.37610986,1.00744688,42298.67363721,1.48133688,0.16506301,3168.63804234,2.11948358,1.00261294,1.00115859,0.75460907
"2022-01-19 00:00",457.6405156,0.99914447,41758.64527242,1.35511253,0.15977104,3096.93066937,2.03364385,1.00042717,1.00058075,0.72628576
"2022-01-20 00:00",428.51064511,1.00430969,38709.37118991,1.20364904,0.15162944,2855.71733454,1.95146185,1.00110871,1.00119097,0.67994301
"2022-01-21 00:00",392.87519686,1.00582544,37237.56406599,1.16408476,0.14711525,2635.85779733,1.7502159,1.00117966,1.00068725,0.64670328
"2022-01-22 00:00",359.10149307,1.00618663,35142.73161173,1.0701728,0.13092188,2414.26518362,1.51995262,1.00262634,1.00139342,0.58989748
"2022-01-23 00:00",385.35948184,1.00672639,36065.8705056,1.10787284,0.1386173,2514.77478207,1.60454157,1.0020826,1.00108653,0.62101517
"2022-01-24 00:00",369.41894565,1.00409341,36234.90581199,1.06174686,0.13559182,2420.5607344,1.44594279,1.0011395,1.00017441,0.60865994
"2022-01-25 00:00",382.75425902,0.99951422,36699.29417373,1.03789766,0.14115351,2434.6336277,1.52358518,1.00022585,0.99896168,0.61085159
"2022-01-26 00:00",380.08925947,1.00774046,36887.12116135,1.07797925,0.14651888,2484.72925755,1.61337142,1.00286947,1.00191334,0.621587
"2022-01-27 00:00",380.99162484,1.00706018,36137.09180627,1.0308555,0.13950903,2364.84439522,1.56476286,1.00145496,1.00107359,0.59763312
"2022-01-28 00:00",391.04986091,1.00179161,37597.25467205,1.04899146,0.14096206,2534.64195848,1.67307079,1.0006539,1.0000776,0.60796419
"2022-01-29 00:00",388.89638212,1.00274574,38112.53090902,1.05577434,0.14180537,2581.94662407,1.67926224,1.00087859,1.00044341,0.61615766
"2022-01-30 00:00",379.20118344,1.0014524,37953.98546833,1.04703674,0.14055064,2604.48869003,1.60392488,1.0006485,0.99997809,0.60930138
"2022-01-31 00:00",373.44980301,0.9948369,38126.45153416,1.04267371,0.13992085,2655.49319972,1.62399532,0.99783062,0.99726488,0.61357717
"2022-02-01 00:00",374.60146787,0.99962231,37799.8452878,1.05923834,0.1407673,2723.12811485,1.61350561,0.99997894,0.99915321,0.60675458
"2022-02-02 00:00",367.07592341,1.00509561,36169.36361421,1.01447581,0.13499804,2621.39908906,1.53449745,1.00272275,1.00114459,0.58939298
"2022-02-03 00:00",368.16354949,0.9962778,36733.5535033,1.04529538,0.13681668,2638.77654752,1.55060338,0.99628068,0.99348191,0.60308806
"2022-02-04 00:00",394.08022673,1.00329552,40464.11921239,1.1167398,0.14539965,2931.37664923,1.53817562,1.00137775,1.00017578,0.63676701
"2022-02-05 00:00",417.07136081,1.00229282,41625.84142352,1.13688023,0.14792186,3027.89006112,1.72930526,1.00139521,1.00075566,0.67218214
"2022-02-06 00:00",415.10917856,1.00095979,41201.98322512,1.12783162,0.1490374,2976.20592274,1.71784527,1.00128659,1.00051065,0.66665689
"2022-02-07 00:00",434.79050885,1.001394,43884.37378218,1.19796298,0.1650319,3139.99736534,2.01077835,1.00119968,1.00049144,0.80169291
"2022-02-08 00:00",412.39358217,0.99973444,44047.92010443,1.17654595,0.15785102,3119.55071062,1.92364762,1.00094311,0.99988179,0.8610235
"2022-02-09 00:00",422.67529955,1.00029753,44377.76364441,1.19931372,0.15964041,3224.69745289,2.03433047,1.00129894,1.00106353,0.889312
"2022-02-10 00:00",421.52415372,1.00462919,44399.60944449,1.17738012,0.15522205,3159.65238048,1.9658546,1.00167281,1.00132722,0.86069348
"2022-02-11 00:00",409.39662204,1.00957952,43042.31409312,1.12418432,0.15109321,3017.71474193,1.79870652,1.00249194,1.00323463,0.79203492
"2022-02-12 00:00",408.93070197,1.0108314,42734.6728349,1.06933022,0.14598811,2944.99345622,1.72860802,1.00406053,1.00324019,0.82931175
"2022-02-13 00:00",404.0818109,1.01163837,42563.5549665,1.05828022,0.15290088,2917.70293747,1.68997011,1.0048863,1.00309704,0.8245949
"2022-02-14 00:00",404.53862157,1.00372545,42685.78715067,1.04923449,0.14632364,2939.00543852,1.65225331,1.00093459,1.0003766,0.80327742
"2022-02-15 00:00",437.53224257,0.99846866,44830.25383039,1.10776633,0.15165818,3197.47318859,1.86338039,1.00000053,0.99952699,0.85143223
"2022-02-16 00:00",418.22279282,0.99851839,42178.20547118,1.08475582,0.14840217,3137.34881006,1.78744042,1.00001429,0.99961617,0.83484625
"2022-02-17 00:00",405.91596038,1.0052045,40867.15571728,1.02762007,0.13946365,2908.59905206,1.66868627,1.00152641,1.00035738,0.77597168
"2022-02-18 00:00",404.15872833,1.00628669,40673.86143721,1.01007919,0.14103416,2842.52285758,1.64942877,1.00307338,1.00250722,0.79420099
"2022-02-19 00:00",400.4844619,1.00669036,39128.88183914,1.0034637,0.14238337,2666.15180632,1.59712847,1.002947,1.00117557,0.82658817
"2022-02-20 00:00",384.55310112,1.00722897,39546.64906763,0.96447479,0.14018838,2712.56069383,1.58692008,1.00260953,1.00098583,0.80256584
"2022-02-21 00:00",371.57406518,1.00751536,39454.06597774,0.90335915,0.13743486,2754.60862126,1.52323737,1.00164343,1.00112356,0.75508296
"2022-02-22 00:00",373.8383026,1.00002168,38225.3023486,0.88629746,0.1314373,2640.69646694,1.47716276,1.00112046,1.00024474,0.7204853
"2022-02-23 00:00",380.7863282,1.00553374,38526.09188276,0.90120183,0.13349527,2683.38368981,1.53913086,1.00213932,1.0021167,0.73185224
"2022-02-24 00:00",355.04717911,1.00033614,38084.78828763,0.84374481,0.12139641,2599.85656897,1.4431949,1.00077493,0.99977104,0.68816914
"2022-02-25 00:00",375.38917283,1.00399287,38788.74952373,0.86335641,0.12440955,2642.52049236,1.4580615,1.00043396,0.99791565,0.7018671
"2022-02-26 00:00",376.1993743,1.00659697,39112.39184029,0.89237609,0.12818105,2788.84891978,1.52631676,1.00047004,0.99854328,0.75392469
"2022-02-27 00:00",365.94912467,1.03198136,38313.03518246,0.86800769,0.12480358,2665.42452857,1.46098419,1.0069176,1.0022389,0.73330852
"2022-02-28 00:00",396.19354625,0.98423854,43361.03932065,0.95565008,0.1333932,2927.4775552,1.70436269,0.99816865,0.99882383,0.78982591
"2022-03-01 00:00",409.92249686,0.99453352,44232.95940668,0.96568395,0.13398815,2974.8090785,1.62189466,0.99926166,1.00124729,0.78664064
"2022-03-02 00:00",406.5122779,0.99371838,43398.75896622,0.93505004,0.13130018,2923.16704763,1.56600302,0.99877968,0.99890633,0.76456846
"2022-03-03 00:00",404.54602812,1.00736883,42711.11489346,0.90683477,0.12910709,2848.52972158,1.57038695,1.00155453,1.00058569,0.75479094
"2022-03-04 00:00",376.95589812,1.00851992,39805.75890098,0.85195232,0.12435711,2660.59328597,1.49979851,1.00290465,1.00045685,0.72186397
"2022-03-05 00:00",392.58278807,1.00560529,40217.599285,0.88230768,0.12812782,2723.45282577,1.52189861,1.00088588,1.00034523,0.77696738
"2022-03-06 00:00",375.42002078,1.01537359,38729.57993519,0.82855234,0.12107535,2586.02079517,1.44563968,1.0083559,1.00180002,0.72844336
"2022-03-07 00:00",384.33703171,1.03011257,38482.63603703,0.80493534,0.11797436,2518.65902174,1.42848457,1.03165777,1.00293559,0.73208837
"2022-03-08 00:00",383.0987286,1.01950569,39805.17482222,0.80533751,0.11783504,2610.00806599,1.45556784,1.01409756,0.99992406,0.72491965
"2022-03-09 00:00",392.55163368,1.01583855,41859.68198132,0.8475872,0.12145255,2715.72584205,1.5028875,1.01110123,0.99688209,0.76426492
"2022-03-10 00:00",383.81411087,1.01480832,39644.1553271,0.82474137,0.11816782,2622.41380327,1.46901088,1.00393065,1.00388052,0.75731062
"2022-03-11 00:00",377.58843036,1.02635316,39463.93105986,0.80740333,0.1180824,2617.19210553,1.43833034,1.00820099,1.00416062,0.81546521
"2022-03-12 00:00",378.23907839,1.01862019,39489.07796423,0.80092992,0.11615486,2612.00179763,1.42736819,1.01084994,1.00439287,0.79862165
"2022-03-13 00:00",370.79945424,1.01453225,40227.34045465,0.83165071,0.11772795,2659.40163506,1.452383,1.00833381,1.00203061,0.81962946
"2022-03-14 00:00",375.35353609,1.02207167,39641.09207164,0.80760802,0.11440799,2594.37223001,1.38026113,1.00570146,1.00141251,0.77643806
"2022-03-15 00:00",374.62209826,1.00591057,39899.81320943,0.81195295,0.11433542,2641.6931992,1.41542249,1.00405989,1.00103823,0.77956532
"2022-03-16 00:00",376.66934448,0.99181633,40468.17603958,0.82021402,0.11483832,2718.34651582,1.4330947,0.99773683,0.99851207,0.77711638
"2022-03-17 00:00",374.34035247,0.99454108,39500.95048234,0.80033872,0.11218527,2769.23052488,1.43714619,0.99866971,0.9972973,0.77320097
"2022-03-18 00:00",391.66120528,0.99579054,41705.82658904,0.85053158,0.11886375,2932.45623849,1.49155593,0.99832095,0.99823728,0.79534343
"2022-03-19 00:00",398.23548023,0.99492258,42184.04020087,0.89842108,0.1235275,2941.59653967,1.53877283,0.99924315,0.99789781,0.81967806
"2022-03-20 00:00",411.30728585,1.00908172,42701.54646714,0.90934277,0.12451956,2993.68136691,1.53435767,1.00257035,0.99839875,0.84245627
"2022-03-21 00:00",395.34493995,0.99989494,41121.50452353,0.9136703,0.1198617,2900.82905423,1.46617647,1.00070022,1.00030977,0.84120425
"2022-03-22 00:00",403.76156656,1.00123619,42624.64747247,0.97576218,0.12344972,2987.86211845,1.52285304,1.00040792,0.99944827,0.84510929
"2022-03-23 00:00",387.75874574,0.99317652,41426.50640683,1.05958288,0.12527391,2919.31253231,1.49491861,0.99751966,0.99905423,0.80867917
"2022-03-24 00:00",397.01189103,0.99643386,43305.60919459,1.1029456,0.13287386,3040.96083806,1.6184999,0.99898049,0.99877322,0.81830979
"2022-03-25 00:00",389.87374532,1.0002394,42906.98449004,1.06060562,0.1259926,3010.69273747,1.52853293,1.00036143,1.00063715,0.79081107
"2022-03-26 00:00",399.47740752,0.99985519,43142.5944202,1.1087595,0.13089474,3007.45557276,1.55839233,1.00037719,1.00073195,0.80170162
"2022-03-27 00:00",410.6660528,0.99733006,45234.63461359,1.1423514,0.13835706,3182.56652092,1.63810093,0.99897176,1.00055673,0.82799464
